step	exit_code	stdout	stderr	command
bootstrap-01-mise-trust	0	dogfood/20260323-week5-recovery-renderer/logs/bootstrap-01-mise-trust.stdout.log	dogfood/20260323-week5-recovery-renderer/logs/bootstrap-01-mise-trust.stderr.log	export PATH="$HOME/.local/bin:$PATH" && mise trust 2>/dev/null
bootstrap-02-mise-install	0	dogfood/20260323-week5-recovery-renderer/logs/bootstrap-02-mise-install.stdout.log	dogfood/20260323-week5-recovery-renderer/logs/bootstrap-02-mise-install.stderr.log	export PATH="$HOME/.local/bin:$PATH" && mise install 2>/dev/null
bootstrap-03-mise-bootstrap-tail	0	dogfood/20260323-week5-recovery-renderer/logs/bootstrap-03-mise-bootstrap-tail.log	dogfood/20260323-week5-recovery-renderer/logs/bootstrap-03-mise-bootstrap-tail.log	export PATH="$HOME/.local/bin:$PATH" && mise run bootstrap 2>&1 | tail -5
01-vitest-renderer-recovery	0	dogfood/20260323-week5-recovery-renderer/logs/01-vitest-renderer-recovery.log	dogfood/20260323-week5-recovery-renderer/logs/01-vitest-renderer-recovery.log	npx vitest run test/integration/renderer-backend.test.ts -t "recovers state after dispose and re-boot" >dogfood/20260323-week5-recovery-renderer/logs/01-vitest-renderer-recovery.log 2>&1
setup-agent-terminal-home	0	dogfood/20260323-week5-recovery-renderer/logs/agent-terminal-home.txt	dogfood/20260323-week5-recovery-renderer/logs/agent-terminal-home.txt	export AGENT_TERMINAL_HOME=$(mktemp -d)
01-create-a.json	0	dogfood/20260323-week5-recovery-renderer/01-create-a.json	dogfood/20260323-week5-recovery-renderer/logs/01-create-a.stderr.txt	npx tsx src/cli/main.ts create --json -- /bin/sh -c 'echo "hello from renderer"; exec cat'
02-wait-a.json	0	dogfood/20260323-week5-recovery-renderer/02-wait-a.json	dogfood/20260323-week5-recovery-renderer/logs/02-wait-a.stderr.txt	npx tsx src/cli/main.ts wait 01KMDQ959NB68M2XGHAVZX1P8H --text 'hello from renderer' --json
03-screenshot-a.json	0	dogfood/20260323-week5-recovery-renderer/03-screenshot-a.json	dogfood/20260323-week5-recovery-renderer/logs/03-screenshot-a.stderr.txt	npx tsx src/cli/main.ts screenshot 01KMDQ959NB68M2XGHAVZX1P8H --json
04-snapshot-a.json	0	dogfood/20260323-week5-recovery-renderer/04-snapshot-a.json	dogfood/20260323-week5-recovery-renderer/logs/04-snapshot-a.stderr.txt	npx tsx src/cli/main.ts snapshot 01KMDQ959NB68M2XGHAVZX1P8H --format text --json
05-destroy-a.json	0	dogfood/20260323-week5-recovery-renderer/05-destroy-a.json	dogfood/20260323-week5-recovery-renderer/logs/05-destroy-a.stderr.txt	npx tsx src/cli/main.ts destroy 01KMDQ959NB68M2XGHAVZX1P8H --json
06-create-b.json	0	dogfood/20260323-week5-recovery-renderer/06-create-b.json	dogfood/20260323-week5-recovery-renderer/logs/06-create-b.stderr.txt	npx tsx src/cli/main.ts create --json -- /bin/sh -c 'echo "hello from renderer"; exec cat'
07-wait-b.json	0	dogfood/20260323-week5-recovery-renderer/07-wait-b.json	dogfood/20260323-week5-recovery-renderer/logs/07-wait-b.stderr.txt	npx tsx src/cli/main.ts wait 01KMDQ9C59CHZ4KWA9B7K0DDT3 --text 'hello from renderer' --json
08-screenshot-b.json	0	dogfood/20260323-week5-recovery-renderer/08-screenshot-b.json	dogfood/20260323-week5-recovery-renderer/logs/08-screenshot-b.stderr.txt	npx tsx src/cli/main.ts screenshot 01KMDQ9C59CHZ4KWA9B7K0DDT3 --json
09-snapshot-b.json	0	dogfood/20260323-week5-recovery-renderer/09-snapshot-b.json	dogfood/20260323-week5-recovery-renderer/logs/09-snapshot-b.stderr.txt	npx tsx src/cli/main.ts snapshot 01KMDQ9C59CHZ4KWA9B7K0DDT3 --format text --json
10-destroy-b.json	0	dogfood/20260323-week5-recovery-renderer/10-destroy-b.json	dogfood/20260323-week5-recovery-renderer/logs/10-destroy-b.stderr.txt	npx tsx src/cli/main.ts destroy 01KMDQ9C59CHZ4KWA9B7K0DDT3 --json
cleanup-agent-terminal-home	0	dogfood/20260323-week5-recovery-renderer/logs/agent-terminal-home.txt	dogfood/20260323-week5-recovery-renderer/logs/agent-terminal-home.txt	rm -rf "$AGENT_TERMINAL_HOME"
