step	exit_code	duration_ms	stdout	stderr	command
01-create-exit-42.json	0	1971	dogfood/20260325-week6-c-failure-taxonomy/logs/01-create-exit-42.json	dogfood/20260325-week6-c-failure-taxonomy/logs/01-create-exit-42.stderr.txt	npx tsx src/cli/main.ts create --json -- /bin/sh -c 'exit 42'
02-wait-exit-42.json	0	1297	dogfood/20260325-week6-c-failure-taxonomy/logs/02-wait-exit-42.json	dogfood/20260325-week6-c-failure-taxonomy/logs/02-wait-exit-42.stderr.txt	npx tsx src/cli/main.ts wait 01KMJ2RSD2NWQKAN6NH3TGMSRC --exit --timeout 10000 --json
03-inspect-exit-42.json	0	1073	dogfood/20260325-week6-c-failure-taxonomy/logs/03-inspect-exit-42.json	dogfood/20260325-week6-c-failure-taxonomy/logs/03-inspect-exit-42.stderr.txt	npx tsx src/cli/main.ts inspect 01KMJ2RSD2NWQKAN6NH3TGMSRC --json
04-create-exit-0.json	0	1936	dogfood/20260325-week6-c-failure-taxonomy/logs/04-create-exit-0.json	dogfood/20260325-week6-c-failure-taxonomy/logs/04-create-exit-0.stderr.txt	npx tsx src/cli/main.ts create --json -- /bin/sh -c 'exit 0'
05-wait-exit-0.json	0	1153	dogfood/20260325-week6-c-failure-taxonomy/logs/05-wait-exit-0.json	dogfood/20260325-week6-c-failure-taxonomy/logs/05-wait-exit-0.stderr.txt	npx tsx src/cli/main.ts wait 01KMJ2RXN9F3K4H9366FNZZJ79 --exit --timeout 10000 --json
06-inspect-exit-0.json	0	1278	dogfood/20260325-week6-c-failure-taxonomy/logs/06-inspect-exit-0.json	dogfood/20260325-week6-c-failure-taxonomy/logs/06-inspect-exit-0.stderr.txt	npx tsx src/cli/main.ts inspect 01KMJ2RXN9F3K4H9366FNZZJ79 --json
07-create-host-death.json	0	1975	dogfood/20260325-week6-c-failure-taxonomy/logs/07-create-host-death.json	dogfood/20260325-week6-c-failure-taxonomy/logs/07-create-host-death.stderr.txt	npx tsx src/cli/main.ts create --json -- /bin/sh -c 'echo host-death-proof; exec cat'
08-wait-text-host.json	0	1554	dogfood/20260325-week6-c-failure-taxonomy/logs/08-wait-text-host.json	dogfood/20260325-week6-c-failure-taxonomy/logs/08-wait-text-host.stderr.txt	npx tsx src/cli/main.ts wait 01KMJ2S238K002KNYQWZGCCT3N --text host-death-proof --timeout 10000 --json
09-inspect-live.json	0	1206	dogfood/20260325-week6-c-failure-taxonomy/logs/09-inspect-live.json	dogfood/20260325-week6-c-failure-taxonomy/logs/09-inspect-live.stderr.txt	npx tsx src/cli/main.ts inspect 01KMJ2S238K002KNYQWZGCCT3N --json
10-kill-host.json	0	2053	dogfood/20260325-week6-c-failure-taxonomy/logs/10-kill-host.json	dogfood/20260325-week6-c-failure-taxonomy/logs/10-kill-host.stderr.txt	kill -9 831241; sleep 2; printf '{"command":"kill -9 %s","hostPid":%s,"exitCode":0}\n' '831241' '831241'
11-inspect-host-death.json	0	1114	dogfood/20260325-week6-c-failure-taxonomy/logs/11-inspect-host-death.json	dogfood/20260325-week6-c-failure-taxonomy/logs/11-inspect-host-death.stderr.txt	npx tsx src/cli/main.ts inspect 01KMJ2S238K002KNYQWZGCCT3N --json
