step	exit_code	duration_ms	stdout	stderr	command
01-review-single.txt	0	731	dogfood/20260325-week6-d-review-surface/logs/01-review-single.txt	dogfood/20260325-week6-d-review-surface/logs/01-review-single.stderr.txt	npx tsx src/tools/review-bundle.ts dogfood/20260325-week6-a-cli-contract
02-review-all.txt	0	1035	dogfood/20260325-week6-d-review-surface/logs/02-review-all.txt	dogfood/20260325-week6-d-review-surface/logs/02-review-all.stderr.txt	npx tsx src/tools/review-bundle.ts --all dogfood/
03-index-files.txt	0	69	dogfood/20260325-week6-d-review-surface/logs/03-index-files.txt	dogfood/20260325-week6-d-review-surface/logs/03-index-files.stderr.txt	find dogfood -maxdepth 2 -name 'index.html' | sort
04-playwright.txt	0	2197	dogfood/20260325-week6-d-review-surface/logs/04-playwright.txt	dogfood/20260325-week6-d-review-surface/logs/04-playwright.stderr.txt	npx tsx --eval "(async () => { const { chromium } = await import('playwright'); const browser = await chromium.launch(); const page = await browser.newPage({ viewport: { width: 1440, height: 1000 } }); await page.goto('file://' + process.cwd() + '/dogfood/20260325-week6-a-cli-contract/index.html'); await page.waitForLoadState('networkidle'); await page.screenshot({ path: 'dogfood/20260325-week6-d-review-surface/screenshots/01-week6-a-review-page.png', fullPage: true }); await browser.close(); })().catch((error) => { console.error(error); process.exit(1); });"
05-cleanup-home.txt	0	68	dogfood/20260325-week6-d-review-surface/logs/05-cleanup-home.txt	dogfood/20260325-week6-d-review-surface/logs/05-cleanup-home.stderr.txt	rm -rf '/tmp/agent-terminal-week6.N8X5Dz' && printf 'removed %s\n' '/tmp/agent-terminal-week6.N8X5Dz'
06-cleanup-extra-indexes.txt	0	56	dogfood/20260325-week6-d-review-surface/logs/06-cleanup-extra-indexes.txt	dogfood/20260325-week6-d-review-surface/logs/06-cleanup-extra-indexes.stderr.txt	find dogfood -maxdepth 2 -name 'index.html' ! -path 'dogfood/20260325-week6-a-cli-contract/index.html' ! -path 'dogfood/20260325-week6-b-artifact-health/index.html' ! -path 'dogfood/20260325-week6-c-failure-taxonomy/index.html' ! -path 'dogfood/20260325-week6-d-review-surface/index.html' -print -delete
07-review-all-final.txt	0	1021	dogfood/20260325-week6-d-review-surface/logs/07-review-all-final.txt	dogfood/20260325-week6-d-review-surface/logs/07-review-all-final.stderr.txt	npx tsx src/tools/review-bundle.ts --all dogfood/
08-week6-index-files.txt	0	61	dogfood/20260325-week6-d-review-surface/logs/08-week6-index-files.txt	dogfood/20260325-week6-d-review-surface/logs/08-week6-index-files.stderr.txt	find dogfood/20260325-week6-* -maxdepth 1 -name 'index.html' | sort
09-cleanup-extra-indexes-final.txt	0	71	dogfood/20260325-week6-d-review-surface/logs/09-cleanup-extra-indexes-final.txt	dogfood/20260325-week6-d-review-surface/logs/09-cleanup-extra-indexes-final.stderr.txt	find dogfood -maxdepth 2 -name 'index.html' ! -path 'dogfood/20260325-week6-a-cli-contract/index.html' ! -path 'dogfood/20260325-week6-b-artifact-health/index.html' ! -path 'dogfood/20260325-week6-c-failure-taxonomy/index.html' ! -path 'dogfood/20260325-week6-d-review-surface/index.html' -print -delete
10-review-all-post-edit.txt	0	1004	dogfood/20260325-week6-d-review-surface/logs/10-review-all-post-edit.txt	dogfood/20260325-week6-d-review-surface/logs/10-review-all-post-edit.stderr.txt	npx tsx src/tools/review-bundle.ts --all dogfood/
11-week6-index-files-post-edit.txt	0	66	dogfood/20260325-week6-d-review-surface/logs/11-week6-index-files-post-edit.txt	dogfood/20260325-week6-d-review-surface/logs/11-week6-index-files-post-edit.stderr.txt	find dogfood/20260325-week6-* -maxdepth 1 -name 'index.html' | sort
12-cleanup-extra-indexes-post-edit.txt	0	56	dogfood/20260325-week6-d-review-surface/logs/12-cleanup-extra-indexes-post-edit.txt	dogfood/20260325-week6-d-review-surface/logs/12-cleanup-extra-indexes-post-edit.stderr.txt	find dogfood -maxdepth 2 -name 'index.html' ! -path 'dogfood/20260325-week6-a-cli-contract/index.html' ! -path 'dogfood/20260325-week6-b-artifact-health/index.html' ! -path 'dogfood/20260325-week6-c-failure-taxonomy/index.html' ! -path 'dogfood/20260325-week6-d-review-surface/index.html' -print -delete
13-review-d-final.txt	0	793	dogfood/20260325-week6-d-review-surface/logs/13-review-d-final.txt	dogfood/20260325-week6-d-review-surface/logs/13-review-d-final.stderr.txt	npx tsx src/tools/review-bundle.ts dogfood/20260325-week6-d-review-surface
