bundle	screenshots_count	screenshots_total_bytes	recordings_count	videos_count	snapshots_count
20260319-lifecycle	6	7540	0	0	0
20260319-nvim-demo	6	8148	0	0	0
20260319-resize-demo	0	0	0	0	0
20260320-renderer-complete	0	0	0	0	0
20260321-post-hardening-smoke	0	0	0	0	0
20260321-week3-crash-retention	0	0	0	0	0
20260321-week3-renderer-complete	0	0	0	0	0
20260322-dogfood-alt-screen	3	22470	1	1	3
20260322-dogfood-color	2	94521	1	0	2
20260322-dogfood-crash	0	0	0	0	0
20260322-dogfood-hello-prompt	1	5475	1	1	0
20260322-dogfood-resize	1	5067	1	1	0
20260322-dogfood-scrollback	0	0	0	0	0
20260322-dogfood-unicode	0	0	0	0	0
20260322-dogfood-week4-features	0	0	0	0	0
20260322-global-cli-context	0	0	0	0	0
20260322-lazyvim-scenario	0	0	0	0	0
20260322-week4-cli-parity	0	0	0	0	0
20260322-week4-failure-recovery	0	0	0	0	0
20260322-week4-scrollback-review	0	0	0	0	0
20260322-week4-unicode-review	0	0	0	0	0
20260323-bugfix-resize	3	17192	0	0	0
20260323-bugfix-scrollback	0	0	0	0	0
20260323-week5-platform-closure	0	0	0	0	0
20260323-week5-recovery-host	0	0	0	0	0
20260323-week5-recovery-renderer	2	5940	0	0	2
20260323-week5-recovery-replay	2	6462	1	0	2
20260323-week5-render-cells	0	0	0	0	0
20260323-week5-render-cursor	3	146659	0	0	0
20260323-week5-render-fonts	2	97035	0	0	0
20260323-week5-render-timing	0	0	3	0	0
20260323-week5-review-helper	2	153083	0	0	0
20260325-week6-a-cli-contract	0	0	0	0	0
20260325-week6-b-artifact-health	1	48895	0	0	0
20260325-week6-c-failure-taxonomy	0	0	0	0	0
20260325-week6-d-review-surface	1	850891	0	0	0
20260325-week7-a-cli-parity	1	7199	1	1	1
20260325-week7-b-envelope-locks	0	0	0	0	0
20260325-week7-c-proof-completeness	0	0	0	0	0
week5-config-parity	0	0	0	0	0
